Time,CH1
-0.0005276679841897232,-0.0052
-0.0005237154150197628,0.0016
-0.0005197628458498023,-0.0068000000000000005
-0.0005158102766798418,-0.0108
-0.0005118577075098813,-0.0004
-0.0005079051383399208,0.0028000000000000004
-0.0005039525691699603,-0.0024
-0.0005,-0.0068000000000000005
-0.0004960474308300395,-0.0016
-0.000492094861660079,-0.0088
-0.0004881422924901185,0.002
-0.000484189723320158,-0.0064
-0.0004802371541501975,-0.0068000000000000005
-0.000476284584980237,-0.0072
-0.0004723320158102767,-0.0016
-0.0004683794466403162,-0.0072
-0.0004644268774703557,-0.012
-0.0004604743083003952,0.0092
-0.0004565217391304347,0.0
-0.0004525691699604742,-0.0108
-0.0004486166007905137,-0.005600000000000001
-0.0004446640316205532,0.028399999999999998
-0.0004407114624505929,-0.0048
-0.0004367588932806324,-0.0024
-0.0004328063241106719,-0.0024
-0.0004288537549407114,-0.0036
-0.0004249011857707509,-0.008
-0.0004209486166007904,-0.0044
-0.00041699604743082987,-0.0004
-0.0004130434782608696,-0.0032
-0.0004090909090909091,-0.0036
-0.0004051383399209486,-0.0128
-0.00040118577075098807,-0.002
-0.00039723320158102757,-0.0132
-0.00039328063241106707,-0.005600000000000001
-0.00038932806324110656,0.0004
-0.00038537549407114606,-0.0064
-0.00038142292490118577,0.006
-0.00037747035573122527,0.011200000000000002
-0.00037351778656126476,-0.0076
-0.00036956521739130426,-0.0028000000000000004
-0.00036561264822134376,-0.0072
-0.00036166007905138325,-0.0032
-0.00035770750988142275,0.002
-0.00035375494071146246,-0.0108
-0.00034980237154150196,-0.0032
-0.00034584980237154146,-0.0064
-0.00034189723320158095,0.006
-0.00033794466403162045,-0.0068000000000000005
-0.00033399209486165995,-0.0044
-0.00033003952569169944,-0.0044
-0.00032608695652173894,0.0084
-0.00032213438735177865,-0.0028000000000000004
-0.00031818181818181815,-0.0004
-0.00031422924901185765,-0.0108
-0.00031027667984189714,-0.0036
-0.00030632411067193664,0.0076
-0.00030237154150197613,-0.0032
-0.00029841897233201563,0.006
-0.00029446640316205534,-0.0064
-0.00029051383399209484,0.0012
-0.00028656126482213434,0.004
-0.00028260869565217383,-0.0028000000000000004
-0.00027865612648221333,-0.004
-0.0002747035573122528,0.0104
-0.0002707509881422923,-0.0132
-0.0002667984189723318,-0.0036
-0.00026284584980237153,-0.0096
-0.00025889328063241103,-0.002
-0.0002549407114624505,0.0024
-0.00025098814229249,-0.0004
-0.0002470355731225295,-0.0008
-0.00024308300395256902,-0.0028000000000000004
-0.0002391304347826085,-0.0004
-0.000235177865612648,-0.0048
-0.00023122529644268772,-0.0068000000000000005
-0.00022727272727272722,-0.0048
-0.00022332015810276671,-0.0032
-0.0002193675889328062,-0.0052
-0.0002154150197628457,-0.0064
-0.0002114624505928852,0.0172
-0.0002075098814229247,-0.0068000000000000005
-0.00020355731225296441,-0.0016
-0.0001996047430830039,-0.0048
-0.0001956521739130434,-0.002
-0.0001916996047430829,0.0072
-0.0001877470355731224,-0.0048
-0.0001837944664031619,-0.0036
-0.0001798418972332014,-0.005600000000000001
-0.0001758893280632409,-0.0028000000000000004
